"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S4",5,"Eff2",-0.0146680359360361,0.0267288372964,-0.067055594385611,0.0377195225135389,1495,285,1780,NA,-2.09642750224126,0.0357670864807641,-2.16652970357549,-2.02632530090704,-0.492243263564743,0.0575519138160217,-0.605042941885499,-0.379443585243987,-0.69920421087488,0.0558100623979251,-0.808589923149746,-0.589818498600013,NA,NA,NA,NA
"S4",6,"P",0.0766717413265919,0.0927580927338003,-0.105130779706283,0.258474262359467,1445,283,1728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",6,"NP",-0.108651770298296,0.0275651646813526,-0.162678500301663,-0.0546250402949298,1445,283,1728,NA,-2.17940207745466,NA,NA,NA,-0.564449069809146,NA,NA,NA,-0.61261353407765,NA,NA,NA,NA,NA,NA,NA
"S4",6,"NP_P",-0.0946451190215295,0.0239209485984821,-0.141529316750588,-0.0477609212924707,1445,283,1728,NA,-2.0807493299321,NA,NA,NA,-0.583592378949892,NA,NA,NA,-0.502058024795865,NA,NA,NA,NA,NA,NA,NA
"S4",6,"Eff_S",-0.0386616042311789,0.0492671563913623,-0.135223456378951,0.0579002479165934,1445,283,1728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",6,"Eff_P",-0.0451259400003551,0.0338239289851291,-0.111419622626849,0.0211677426261384,1445,283,1728,NA,-2.38199097514624,NA,NA,NA,-0.458397067991433,NA,NA,NA,-0.783759902550959,NA,NA,NA,NA,NA,NA,NA
"S4",6,"Eff1_union",0.0328682925845446,0.0677921438205987,-0.100001867738588,0.165738452907678,1445,283,1728,NA,-2.36711244724225,0.081877329170613,-2.52758906356698,-2.20663583091752,-0.48479793934384,0.0885205524108627,-0.658295033960721,-0.311300844726959,-0.798457052151789,0.104046573411999,-1.00238458875411,-0.594529515549469,NA,NA,NA,NA
"S4",6,"Eff2_union",0.0355759539258723,0.0670395155224652,-0.0958190820391734,0.166970989890918,1445,283,1728,NA,-2.36385609989,0.0818247033764728,-2.52422957155356,-2.20348262822644,-0.48968304768723,0.0879122826152381,-0.661987955411804,-0.317378139962657,-0.796055641728095,0.103440081529192,-0.998794476083198,-0.593316807372992,NA,NA,NA,NA
"S4",6,"Eff1",0.0100892335042879,0.0223854705437251,-0.0337854825383954,0.0539639495469713,1445,283,1728,NA,-2.13974651106969,0.0353727906315112,-2.20907590674013,-2.07041711539925,-0.490572904980248,0.0462898789843621,-0.581299400638315,-0.39984640932218,-0.739127121362527,0.0546224558582895,-0.846185167591903,-0.632069075133151,NA,NA,NA,NA
"S4",6,"Eff2",-0.00055799137174742,0.0231222669856895,-0.0458768019046183,0.0447608191611234,1445,283,1728,NA,-2.15844370247897,0.0352015885712215,-2.22743754827717,-2.08944985668078,-0.45276030903569,0.0447241062330953,-0.5404179464933,-0.36510267157808,-0.763192778899081,0.0537049938982781,-0.868452632729649,-0.657932925068512,NA,NA,NA,NA
